G1,G2,G3
-0.3119708388699664,-0.25861646084173173,-0.22593567691936825
-0.26750189421033305,-0.2935301853518124,-0.23831239229479026
-0.3142523647008355,-0.24332025720247694,-0.20674359584531632
-0.33576249823563187,-0.2596007753983677,-0.20961621496546035
-0.29150228937384504,-0.28760549354039683,-0.23574263630896222
-0.30420713785934383,-0.28055138186730666,-0.23163157294200715
-0.30364633648140205,-0.24539330911889282,-0.21962939805161313
-0.293127539238522,-0.30386208606983806,-0.23708558977053829
-0.2941352536632823,-0.26291035023970005,-0.21927849275207592
-0.3188210667608139,-0.2651057394282246,-0.22395947124937737
-0.27384814380262196,-0.3048624083964422,-0.24173009317938413
-0.3298636926764687,-0.2547079834673942,-0.2198835061934734
-0.30125270722186664,-0.2712957756724177,-0.2243188342446611
-0.3047105763768216,-0.26531370337056853,-0.21471729000438214
-0.3075279178705766,-0.26105559444986964,-0.22140314675027184
-0.3048645264705986,-0.25498730654928875,-0.22518573941214262
-0.30868372030313623,-0.2598540869994112,-0.22701520301835823
-0.27833557895530125,-0.29846568839092963,-0.23422282067412573
-0.2784332944559695,-0.2884543284065626,-0.24299811537020635
-0.3098065419935417,-0.2534158810647977,-0.2187113717805064
-0.2870140856727875,-0.30267553782468404,-0.24288832920591694
-0.32766852090414994,-0.2836533533497032,-0.239168104052757
-0.28332179649859907,-0.3055879245792797,-0.24229156824070158
-0.316101290542375,-0.2538975182799223,-0.22420176797686237
-0.31595784144428635,-0.2547494587718964,-0.20939602782126057
-0.3064909083982143,-0.26539921558226914,-0.22682180867984644
-0.3130258219436959,-0.27766825240816373,-0.22264993095544397
-0.2818875621056337,-0.2871115781300977,-0.2321886022993406
-0.29622463924904563,-0.25374242711423517,-0.22617748227252937
-0.2661527729528667,-0.33480745523152966,-0.23924227658204497
-0.3165419140601846,-0.2432796417219866,-0.2221915337790715
-0.28717625214958986,-0.2944031809604727,-0.23702722661618986
-0.3225947706164179,-0.2516280931443301,-0.22348867579784187
-0.2938397386473898,-0.2980440581224939,-0.23277923291655772
-0.28488844342604014,-0.3033970882742836,-0.24055153126524095
-0.2879449785731241,-0.28815100883371286,-0.22993451482126326
-0.3116927259759142,-0.26339109359994056,-0.2116785149320981
-0.3410378433193553,-0.23707331363217035,-0.21609365948219822
-0.276360592561542,-0.322892956363585,-0.23318366421145467
-0.3323794116884848,-0.24025129803814865,-0.21650813386393838
-0.30425835594662687,-0.24925806463971217,-0.20747321604176605
-0.2680789969360521,-0.3292279832918342,-0.24409233180024098
-0.3250223038824664,-0.23191557261354465,-0.2171450033352224
-0.28790401933548204,-0.324071495927014,-0.24597812573879044
-0.3145726988839828,-0.27038269047332275,-0.224813261793751
-0.29188695608052434,-0.28111133928967735,-0.22888962748790526
-0.2833685686306869,-0.29840514153423636,-0.23794981430675613
-0.2800669272551478,-0.3031737392076675,-0.23875954035224223
-0.3319406837023512,-0.2192615876851439,-0.20814999788864394
-0.3445469473407063,-0.22165523868660167,-0.20584904181188501
-0.31428890650660307,-0.2692760079713177,-0.22672660394742072
-0.3032257896469583,-0.27066940968742964,-0.22338816917765422
-0.2959170984501055,-0.26184557893393784,-0.22189929289558463
-0.31834209610146885,-0.23894790962380405,-0.21859949047939078
-0.2914850493058069,-0.29214774802078314,-0.22809986171198618
-0.3189469855132817,-0.2621293300973088,-0.2203136754344301
-0.26391247875789836,-0.283618747883255,-0.22674334882171876
