G1,G2,G3
-0.3453698987749291,-0.26606874533992464,-0.21554939683479996
-0.3158673559882532,-0.2661578631214165,-0.20059372691970118
-0.30444957021653296,-0.26188956063043467,-0.21602647935728445
-0.35322376021445734,-0.2519265799663786,-0.20755406416002192
-0.31478194294268,-0.2901941513776085,-0.22453039195056604
-0.3387710560068924,-0.26720065484151984,-0.1891582203588567
-0.308518860769339,-0.29938654829764094,-0.21049742680284467
-0.3257206597231053,-0.26929906968404477,-0.20292350362432474
-0.298330387648902,-0.2985236102980949,-0.21962257958574216
-0.3418896332959543,-0.2799367787902899,-0.20435332802751133
-0.3207091913138604,-0.2666774812620363,-0.22066158410246092
-0.357172110792318,-0.260976074279369,-0.1966530402184634
-0.3261916069023967,-0.2918842387767075,-0.2246948600194729
-0.30768323800396274,-0.2521420138577586,-0.21700737968902029
-0.2968651263143543,-0.27472379062020974,-0.21407465258104127
-0.31538615651750473,-0.2959950068165738,-0.2141341390600717
-0.2732677619273722,-0.30429675396736905,-0.23360411456512092
-0.32268162750091794,-0.3160386338712523,-0.21476087082218956
-0.3319373357001339,-0.27305351990453175,-0.20439549639515836
-0.3142054830283301,-0.25505366712723077,-0.21587590464746007
-0.30160179725201475,-0.2886128991842449,-0.22150274614478432
-0.3234831560871893,-0.29990161643772034,-0.20277428526490182
-0.33773655253492313,-0.27562753930533274,-0.21268944782516122
-0.31773246543812345,-0.2818879985516451,-0.22301889737932407
-0.29042131783672104,-0.2661046956738536,-0.2111082536868813
-0.2944355023189308,-0.29376342570490876,-0.21197975296512644
-0.32484866329170253,-0.28258196026106663,-0.2279746522102934
-0.25774427076622936,-0.2831815057982915,-0.2451633524999447
-0.32634091289359907,-0.26129053477076625,-0.20988091736342293
-0.3235716525077562,-0.270971543030925,-0.229029600134187
-0.305880425095186,-0.2500058477881596,-0.20592960424270046
-0.2787591827153952,-0.30814439953747513,-0.22918567775506873
-0.30663966279331806,-0.252826204962625,-0.21335626986542966
-0.28914926909827,-0.2921020292280232,-0.22596256228208472
-0.29637447615467194,-0.30760176254155536,-0.19220011251711847
-0.29355256771561183,-0.292542876004805,-0.22636745588472926
-0.302577054867844,-0.27268326457421976,-0.21968344221142452
-0.2872167375440077,-0.3029954705360174,-0.23140635395083203
-0.31849268393005703,-0.29009449805888665,-0.21709708253346482
-0.3549726622250785,-0.24572907413623224,-0.21379987049716598
-0.3260621756229264,-0.2693901954721841,-0.1988115859735291
-0.3633653833490136,-0.239962202202648,-0.20410962626574397
-0.32047974255965966,-0.2739145828791914,-0.2147400660815922
