G1,G2,G3
-0.2268152589179803,-0.31699661235514,-0.2492523824911838
-0.19276974376809103,-0.401799215584029,-0.2795436881499821
-0.20171990592237427,-0.39149860713534484,-0.29331562344541334
-0.11453791538645634,-0.5311865757808755,-0.3469373014371362
-0.21352377706385925,-0.3068752475235401,-0.25186026510088344
-0.17549418937574218,-0.4256603814351004,-0.2865489747784092
-0.25496125342567566,-0.3254818629823148,-0.2589533028560915
-0.18285560458823635,-0.34903431379040895,-0.2640741119635332
-0.13891997761404187,-0.46278499910306076,-0.30941615184258203
-0.20854479228072545,-0.3636807532411577,-0.2810186530533718
-0.20815499048955785,-0.3282556281254929,-0.25878125153358345
-0.2027570085984554,-0.3349225560571845,-0.26863578191299364
-0.21377864737410643,-0.3206021183368326,-0.25859679365227256
-0.2435363817070996,-0.35608385886371385,-0.2635578575722359
-0.2348418961089542,-0.32959210384172954,-0.24363830807905287
-0.21341058537410457,-0.2981951834121376,-0.25969755360198005
-0.21966843363853325,-0.31399096574268615,-0.2571088777952556
-0.09337806466205859,-0.5774762054883402,-0.35334809905088094
-0.18407408884034482,-0.410260376343281,-0.2986048826288819
-0.24425773924430438,-0.35411242545800603,-0.27207941802808805
-0.18110857958167356,-0.44654756270691937,-0.31205937050776067
-0.2480653921596365,-0.3287643735328534,-0.24906295057039685
-0.2055586872524944,-0.3272772532637196,-0.25284629259453234
-0.2250573673023349,-0.3639738387284615,-0.2792299176339284
-0.20120011363588777,-0.3560208492561615,-0.2674148777477192
-0.14374529084500415,-0.5011478822707827,-0.33678287801102724
-0.21748262379841832,-0.3569660867785902,-0.2598489158756345
-0.190223754582995,-0.38596406165439556,-0.2738685222726945
-0.17732680477076965,-0.40696102391905603,-0.286295150701362
-0.21803070435278105,-0.31301901554072686,-0.24561732903565628
-0.14457159618537807,-0.5125309328027907,-0.33065698438541813
-0.15610138546919228,-0.49018973241197594,-0.32195769078815045
-0.1695022681067208,-0.5022268221782092,-0.340472556924963
-0.2428699503423378,-0.3142713006127382,-0.25620474916311525
-0.17375697365870804,-0.3579106018098893,-0.264118599827627
-0.2188627000275472,-0.3486530861522334,-0.26196270367389435
-0.21406618388770443,-0.36971381307997103,-0.2737518778488998
-0.23843404367118765,-0.28380956454401024,-0.2447283032188854
-0.20594710910985908,-0.35777501344737084,-0.27891286792296965
-0.19206985265298904,-0.387579136353588,-0.2921119461886999
-0.20796407809416112,-0.3257062413763108,-0.26402218678938155
-0.26627547132157703,-0.29782518958068693,-0.23917059000085372
-0.2080802016806324,-0.35234677899046263,-0.2588649247038163
-0.2059273921793812,-0.3845343991575075,-0.2919550846515313
-0.2108378802495365,-0.33681510148222255,-0.26845234431285986
-0.24352834559300615,-0.30442927418393523,-0.2582006476850009
-0.1833376113534768,-0.41281661984311624,-0.30546627895654094
-0.09586918781919969,-0.5649016793951629,-0.3446455740905008
-0.09586744060819384,-0.5451057138018617,-0.33975916734900385
-0.11818561251798886,-0.5658628126185387,-0.3607242041967574
-0.08106037952527416,-0.5421433120156183,-0.34631983149867046
-0.2068818138649238,-0.3347598463191277,-0.26250342511450525
-0.13984170924784275,-0.5217356765831062,-0.3332071519504517
-0.18212674889478872,-0.40921997650633335,-0.2933914697677993
-0.2515977582545702,-0.31751772561289665,-0.25608592907816397
-0.2342739388020765,-0.3276783944140358,-0.2549356387307613
-0.21093786766937375,-0.34346864281257466,-0.2693460213508445
-0.22451953246248635,-0.3090640912289885,-0.2523315497660715
-0.21196110642351873,-0.341110452493512,-0.26736153312703753
-0.20537610195846676,-0.32329051680578785,-0.2612089523795415
-0.23691901515129418,-0.36749293444346776,-0.2710681169292811
-0.13612969288036486,-0.5327861508639659,-0.33685365604138884
-0.20155802093015437,-0.37405355916438904,-0.27748112159062394
-0.1568834520377366,-0.4416008940194295,-0.3094815789173609
-0.16708985967152035,-0.43507803599316824,-0.3017390227773426
-0.21095945989525264,-0.3358467518314663,-0.262916016349575
-0.20076651038761473,-0.38927116288610275,-0.2851362054426465
-0.23591009233016794,-0.3058468429333726,-0.24370911732747214
-0.24601190606955098,-0.3215041452750487,-0.2547001165380564
-0.23655855140110682,-0.30720227140188144,-0.25212319594242083
-0.23018618467990837,-0.31383185298168614,-0.24746036539105237
-0.1807303521537525,-0.35241027515020007,-0.26966566555804217
-0.24559415028095186,-0.31633188605888063,-0.24940292600044248
-0.2502951788981347,-0.303995768735012,-0.2420014485762118
-0.20383208298097305,-0.32597159816339033,-0.25189367895593945
-0.08705920109039172,-0.5588067640285759,-0.35241738307174963
-0.12135214136961714,-0.5526817427712052,-0.35221483285237193
-0.13225672733754323,-0.517240927322174,-0.34866990192969877
-0.18951012685437807,-0.38840249540289074,-0.28618230747206735
-0.19196115895313706,-0.3503466235236873,-0.27066157876495356
-0.2000434175199186,-0.34206003220914194,-0.26222871161905553
-0.20575862882760024,-0.3548465357202185,-0.2799084265094026
-0.1649302964112303,-0.38992329498362144,-0.28663599018167357
-0.22079247245615435,-0.33869639300290383,-0.2738895351067834
-0.2367044825570864,-0.34552216545073644,-0.27142773300124723
-0.20323828807986455,-0.36445875315121046,-0.2752376047877637
-0.19503358324431344,-0.40786501753286036,-0.2970410576003405
-0.21445052090119657,-0.3007542596436841,-0.2416635453509156
-0.20944145991348329,-0.3758645827021087,-0.2793834977436033
-0.23106618982927593,-0.351158766716665,-0.26673914633618423
-0.17018898703850993,-0.36449779855489456,-0.2654367777978688
-0.2084121055395638,-0.32545517146942643,-0.25584518564766734
-0.17404763846360047,-0.4123323972299246,-0.29662680391119617
-0.15047494368182787,-0.36691952071424033,-0.28740012451047403
-0.19248892746968302,-0.3660839349178298,-0.27841360437651347
-0.13695810090958696,-0.5503457425311915,-0.34085588825528934
-0.14341958581857572,-0.480873181113633,-0.3058456946187535
-0.22041863484626695,-0.32713860250862037,-0.25098987342172463
-0.19517672020438978,-0.38904150275510835,-0.29347403773300335
-0.13688130417865624,-0.5022773956680598,-0.3271819321554684
